Name,Навчається.очно,Навчається.дистанційно,Навчається.змішано,total,offline_percent,online_percent,hybrid_percent,color,ADMIN_1,ADMIN_2,COD_2_2
Спеціалізована школа №211 Оболонського району м.Києва,"359","3","262","624","58","0","42",змішано,Київ,Київ,UA80000000000093317
Медична гімназія № 33 міста Києва управління освіти Голосіївської районної в місті Києві державної адміністрації,"150","0","103","253","59","0","41",змішано,Київ,Київ,UA80000000000093317
"Приватний заклад загальної середньої освіти І ступеня ""Академія сучасної освіти"" з поглибленим вивченням іноземних мов","292","185","0","477","61","39","0",змішано,Київ,Київ,UA80000000000093317
"Спеціалізована школи №40 з поглибленим вивченням німецької мови
Святошинського району м.Києва","532","0","334","866","61","0","39",змішано,Київ,Київ,UA80000000000093317
"ліцей ""Школа екстернів""","161","3","96","260","62","1","37",змішано,Київ,Київ,UA80000000000093317
"Спеціалізована школа І-ІІІ ступенів  №24  ім.О.Білаша з поглибленим вивченням іноземних мов, Управління освіти Шевченківської районної в м.Києві адміністрації","330","16","177","523","63","3","34",змішано,Київ,Київ,UA80000000000093317
Середня загальноосвітня школа №83 Святошинського району м. Києва,"341","194","0","535","64","36","0",змішано,Київ,Київ,UA80000000000093317
"Товариство з обмеженою відповідальністю ""Приватний ліцей Кідз Студіо м. Києва""","69","39","0","108","64","36","0",змішано,Київ,Київ,UA80000000000093317
школа І-ІІІ ступенів № 132 міста Києва,"590","0","330","920","64","0","36",змішано,Київ,Київ,UA80000000000093317
"Приватне підприємство ""Приватний загальноосвітній навчальний заклад гімназія ""Престиж""","20","10","1","31","65","32","3",змішано,Київ,Київ,UA80000000000093317
"Спеціалізована школа І-ІІІ ступенів з поглибленим вивченням іноземних мов ""Інтелект""","44","24","0","68","65","35","0",змішано,Київ,Київ,UA80000000000093317
"Мистецький ліцей ""КИЇВСЬКА ДИТЯЧА АКАДЕМІЯ МИСТЕЦТВ ІМЕНІ М.І. ЧЕМБЕРЖІ""","174","94","0","268","65","35","0",змішано,Київ,Київ,UA80000000000093317
"Навчально-виховний комплекс ""Дошкільний навчальний заклад - загальноосвітній навчальний заклад ""ПРЕСТИЖ"" ","553","292","0","845","65","35","0",змішано,Київ,Київ,UA80000000000093317
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЛІНГВІСТИЧНИЙ ЛІЦЕЙ ""НАШЕ МАЙБУТНЄ""","150","78","0","228","66","34","0",змішано,Київ,Київ,UA80000000000093317
Спеціалізована школа №197 ім. Дмитра Луценка Святошинського району м. Києва,"695","0","360","1055","66","0","34",змішано,Київ,Київ,UA80000000000093317
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КИЇВСЬКИЙ ЛІЦЕЙ МОНТЕССОРІ""","66","32","0","98","67","33","0",змішано,Київ,Київ,UA80000000000093317
ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ І-ІІІ СТУПЕНІВ ЛІЦЕЙ «МЕЙН СКУЛ» ,"180","80","5","265","68","30","2",змішано,Київ,Київ,UA80000000000093317
Спеціалізована школа №239 міста Києва,"619","111","165","895","69","12","18",змішано,Київ,Київ,UA80000000000093317
Ліцей №34 імені Віктора Максименка Подільського району м. Києва,"1069","1","467","1537","70","0","30",змішано,Київ,Київ,UA80000000000093317
"Приватний заклад ""Ліцей ""Печерська міжнародна школа міста Києва""","48","21","0","69","70","30","0",змішано,Київ,Київ,UA80000000000093317
Спеціальна школа ІІІ рівня №27 Подільського району м. Києа,"53","23","0","76","70","30","0",змішано,Київ,Київ,UA80000000000093317
"Товариство з обмеженою відповідальністю ""Ліко-школа""","456","185","0","641","71","29","0",змішано,Київ,Київ,UA80000000000093317
"Товариство з обмеженою відповідальністю ""Початкова школа ""Ух-Ти"" м. Києва""","42","17","0","59","71","29","0",змішано,Київ,Київ,UA80000000000093317
"Загальноосвітній навчальний заклад І-ІІІ ступенів ""Середня загальноосвітня школа №242"" Подільського району м. Києва","639","111","147","897","71","12","16",змішано,Київ,Київ,UA80000000000093317
"Приватний християнський ліцей ""Ріка життя"" Святошинського району м. Києва","105","41","0","146","72","28","0",змішано,Київ,Київ,UA80000000000093317
"Загальноосвітній навчальний заклад ІІ-ІІІ ступенів ""Вечірня (змінна) школа №2"" Подільського району м. Києва","159","61","1","221","72","28","0",змішано,Київ,Київ,UA80000000000093317
"Всеукраїнська школа персональної освіти ""Славія"" імені Віктора Соломенка","31","12","0","43","72","28","0",змішано,Київ,Київ,UA80000000000093317
Початкова школа № 244 Оболонського району м. Києва,"106","41","0","147","72","28","0",змішано,Київ,Київ,UA80000000000093317
Спеціальна школа № 26 Дніпровського району м. Києва,"224","85","0","309","72","28","0",змішано,Київ,Київ,UA80000000000093317
"ПРИВАТНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД) «ПРИВАТНИЙ ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ «ЛІЦЕЙ ІНДЕВЕРСАЛ» М. КИЄВА»","141","50","0","191","74","26","0",змішано,Київ,Київ,UA80000000000093317
"Товаривство з обмеженою відповідальністю ""Софі-Емілі Монтессорі школа-дитячий садок з поглибленим вивченням іноземних мов та IT технологій""","3","1","0","4","75","25","0",змішано,Київ,Київ,UA80000000000093317
Спеціалізована школа №14 імені українського професора Грушевського Сергія Федоровича,"694","227","0","921","75","25","0",змішано,Київ,Київ,UA80000000000093317
"Приватний заклад освіти ""УОЛД СКУЛ КАМПУС Б""","199","65","0","264","75","25","0",змішано,Київ,Київ,UA80000000000093317
"Дочірнє підприємство ""Гранд-Ліцей"" приватного учбово-виробничого підприємства ""Гранд""","108","35","0","143","76","24","0",змішано,Київ,Київ,UA80000000000093317
Середня загальноосвітня школа №121,"191","61","0","252","76","24","0",змішано,Київ,Київ,UA80000000000093317
"Комунальний навчальний заклад ""Навчально-виховний комплекс № 141 ""Освітні ресурси та технологічний тренінг"" міста Києва (дошкільний навчальний заклад - школа І ступеня - школа ІІ ступеня з поглибленим вивченням іноземних мов та інформаційних технологій - технологічний ліцей)""","1090","328","3","1421","77","23","0",змішано,Київ,Київ,UA80000000000093317
Школа І-ІІІ ступенів № 168 Оболонського району м. Києва,"362","109","0","471","77","23","0",змішано,Київ,Київ,UA80000000000093317
"Приватна організація (установа, заклад) ""Приватний заклад загальної середньої освіти ""Київська гімназія ""Орендж""","10","3","0","13","77","23","0",змішано,Київ,Київ,UA80000000000093317
"Загальноосвітній навчальний заклад І-ІІІ ступенів ""Гімназія №19 ""Межигірська"" Подільського району м.Києва","391","114","2","507","77","22","0",змішано,Київ,Київ,UA80000000000093317
"Навчально-виховний комплекс ""Дошкільний навчальний заклад-Загальноосвітній навчальний заклад"" ""Сузір'я"" ","21","6","0","27","78","22","0",змішано,Київ,Київ,UA80000000000093317
"Навчально-виховний комплекс ""Міжнародний ліцей Міжрегіональної Академії управління персоналом""","321","91","0","412","78","22","0",змішано,Київ,Київ,UA80000000000093317
Гімназія №117 імені Лесі Українки з поглибленим вивченням іноземних мов Печерського району міста Києва,"406","110","0","516","79","21","0",змішано,Київ,Київ,UA80000000000093317
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРИВАТНИЙ ЗАКЛАД ОСВІТИ ""ГІМНАЗІЯ КЛАРІС ВЕРБІС""","41","11","0","52","79","21","0",змішано,Київ,Київ,UA80000000000093317
Ліцей №63 Подільського району  міста Києва,"583","0","153","736","79","0","21",змішано,Київ,Київ,UA80000000000093317
"Приватний загальноосвітний навчальний заклад II - III ступенів ""ЛІЦЕЙ ""ЕКОЛОГІЯ І КУЛЬТУРА""","88","23","0","111","79","21","0",змішано,Київ,Київ,UA80000000000093317
"МІЖНАРОДНИЙ ХРИСТИЯНСЬКИЙ ПРИВАТНИЙ ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ ЛІЦЕЙ М.КИЄВА ""ДІТИ ЦАРЯ""","212","55","0","267","79","21","0",змішано,Київ,Київ,UA80000000000093317
середня загальноосвітня школа І-ІІІ ступенів № 184 м. Києва,"477","11","111","599","80","2","19",змішано,Київ,Київ,UA80000000000093317
Заклад загальної середньої освіти І-ІІІ ст. №50 Святошинського району  в місті Києві,"542","132","1","675","80","20","0",змішано,Київ,Київ,UA80000000000093317
Ліцей №18 Деснянського району міста Києва,"161","37","0","198","81","19","0",змішано,Київ,Київ,UA80000000000093317
Середня загальноосвітня школа №67,"433","99","0","532","81","19","0",змішано,Київ,Київ,UA80000000000093317
Київська гімназія №154 Святошинської районної у м. Києві державної адміністрації,"512","115","0","627","82","18","0",змішано,Київ,Київ,UA80000000000093317
"Ліцей ""Інтелект""","656","144","1","801","82","18","0",змішано,Київ,Київ,UA80000000000093317
"Спеціалізована школа - дитячий садок І ступеня ""Відродження""","142","30","0","172","83","17","0",змішано,Київ,Київ,UA80000000000093317
Середня загальноосвітня школа №12,"336","67","0","403","83","17","0",змішано,Київ,Київ,UA80000000000093317
середня загальноосвітня школа І-ІІІ ступенів № 158 м. Києва,"641","125","0","766","84","16","0",змішано,Київ,Київ,UA80000000000093317
ВІННИЦЬКО-СТАВСЬКА ГІМНАЗІЯ  КОВАЛІВСЬКОЇ СІЛЬСЬКОЇ РАДИ БІЛОЦЕРКІВСЬКОГО РАЙОНУ КИЇВСЬКОЇ ОБЛАСТІ,"31","0","6","37","84","0","16",змішано,Київ,Київ,UA80000000000093317
Ліцей інформаційних технологій №79 імені Бориса Батона Печерського району м. Києва,"248","48","0","296","84","16","0",змішано,Київ,Київ,UA80000000000093317
Спеціалізована школа № 149 м.Києва,"563","98","0","661","85","15","0",змішано,Київ,Київ,UA80000000000093317
"Загальноосвітній навальний заклад І ступеня ""Школа - дитячий садок ""Родзинка "" з поглибленим вивченням іноземної мови Подільського району м.Києва","23","4","0","27","85","15","0",змішано,Київ,Київ,UA80000000000093317
Київська спеціалізована школа №76 імені Олеся Гончара Святошинського району міста Києва,"1016","176","0","1192","85","15","0",змішано,Київ,Київ,UA80000000000093317
Середня загальноосвітня школа № 26 м. Києва,"582","98","2","682","85","14","0",змішано,Київ,Київ,UA80000000000093317
"Загальноосвітня школа ""Екологія і Культура"" Оболонського р-ну м.Києва","47","8","0","55","85","15","0",змішано,Київ,Київ,UA80000000000093317
"Приватний загальноосвітній навчальний заклад ""Школа Інвентор Скул""","118","20","0","138","86","14","0",змішано,Київ,Київ,UA80000000000093317
Середня загальноосвітня школа № 205 Святошинського району м. Києва,"478","81","0","559","86","14","0",змішано,Київ,Київ,UA80000000000093317
"ПРИВАТНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД) ""ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ  І-ІІІ СТУПЕНЯ ЛІЦЕЙ ""ЕДЮКЕЙТЕР""","428","70","0","498","86","14","0",змішано,Київ,Київ,UA80000000000093317
школа І-ІІІ ступенів №285 оболонського району м.Києва,"862","139","1","1002","86","14","0",змішано,Київ,Київ,UA80000000000093317
СЕРЕДНЯ ЗАГАЛЬНООСВІТНЯ ШКОЛА І-ІІІ СТУПЕНІВ №195 ІМ. В.І.КУДРЯШОВА М. КИЄВА,"419","68","0","487","86","14","0",змішано,Київ,Київ,UA80000000000093317
"ліцей ""ЕКО""№198","1023","165","0","1188","86","14","0",змішано,Київ,Київ,UA80000000000093317
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЛІЦЕЙ ПОЛІТИКИ, ЕКОНОМІКИ, ПРАВА ТА ІНОЗЕМНИХ МОВ""","85","13","0","98","87","13","0",змішано,Київ,Київ,UA80000000000093317
"Товариство з обмеженою відповідальністю ""Київський ліцей ""Крила""","54","8","0","62","87","13","0",змішано,Київ,Київ,UA80000000000093317
"відокремлений структурний підрозділ ""Дитяча інженерна академія"" Національного педагогічного університету імені М.П. Драгоманова","238","35","0","273","87","13","0",змішано,Київ,Київ,UA80000000000093317
Ліцей міжнародних відносин № 51 Печерського району м.Києва,"450","66","0","516","87","13","0",змішано,Київ,Київ,UA80000000000093317
Початкова спеціалізована школа І ступеня № 164 з поглибленним вивченням окремих предметів міста Києва,"49","7","0","56","88","13","0",змішано,Київ,Київ,UA80000000000093317
Спеціальна школа №4 Оболонського району м. Києва,"302","43","0","345","88","12","0",змішано,Київ,Київ,UA80000000000093317
спеціалізована школа № 57 І-ІІІ ступенів з поглибленним вивченням англійської мови,"306","43","0","349","88","12","0",змішано,Київ,Київ,UA80000000000093317
"Загальноосвітній навчальний заклад І-ІІІ ступенів ""Середня загальноосвітня школа № 6"" Подільського району м. Києва","887","123","0","1010","88","12","0",змішано,Київ,Київ,UA80000000000093317
"Ліцей № 124«Спаський»  Подільського району м.Києва
","369","50","1","420","88","12","0",змішано,Київ,Київ,UA80000000000093317
Школа І ступеня №295 Дарницького району м.Києва,"444","61","0","505","88","12","0",змішано,Київ,Київ,UA80000000000093317
